시도,시군구,연평균기온_C,평균풍속_ms,연간_15도이하_일수,취수여유량_m3년,취수여유율_%,N_기온,N_풍속,N_냉각일수,N_취수여유율,냉각_종합
강원,평창군,10.306959833795014,1.385156987285746,224.0,6836129.0,43.7,0.9879899993050597,0.133891980827965,1.0,0.5448666127728375,0.7277328429834493
충남,계룡시,11.254131054131054,2.5231256517205423,204.5,20748794.0,55.9,0.8321575250347799,0.4431357263677561,0.7636363636363637,0.6434923201293451,0.7040850309262203
충남,청양군,13.083494475138124,1.1021289021227547,195.25,657000.0,100.0,0.5311831899679526,0.056978909419069926,0.6515151515151515,1.0,0.6953558782353231
충남,아산시,13.93901098901099,2.041674334772092,184.75,4380000.0,100.0,0.3904301220183224,0.312301009032062,0.5242424242424243,1.0,0.6532076223571878
전남,구례군,12.665848007414272,2.078169965574852,196.33333333333337,6202316.0,65.7,0.5998960911185598,0.32221872110798144,0.6646464646464652,0.7227162489894907,0.6342064919714554
전북,무주군,10.233961397058822,2.399396960523001,221.5,338025.0,6.3,1.0,0.40951237179527505,0.9696969696969697,0.24252223120452707,0.6318995236007323
경북,상주시,12.986529209621994,1.8682814773132683,196.125,33341633.0,71.5,0.5471363111346751,0.2651813840667771,0.6621212121212121,0.7696038803556993,0.6309248263136024
강원,홍천군,11.589975635224503,1.179194523252927,214.83333333333337,5633273.0,40.8,0.7769030040797513,0.07792154349632884,0.8888888888888894,0.5214227970897332,0.6272099521872294
부산,서구,12.598618784530386,4.572299168975069,169.8,638966794.0,60.1,0.6109569172082159,1.0,0.3430303030303032,0.677445432497979,0.622871308767717
강원,춘천시,11.960041336548398,1.128054344090675,202.5,40798426.0,50.1,0.7160182847790433,0.06402416561065069,0.7393939393939394,0.5966046887631365,0.6077285653788206
전남,나주시,14.519432918395571,1.6689997548932318,180.25,730000.0,100.0,0.2949367376810752,0.21102644273594387,0.4696969696969697,1.0,0.603523059517311
충남,예산군,12.176837725381414,3.846520230094858,200.25,2661388.0,27.7,0.6803500582120192,0.8027690880181775,0.7121212121212122,0.4155214227970897,0.5930147378085018
충남,보령시,14.080386073767665,3.156688028162736,194.875,3318375.0,65.4,0.367170516167981,0.6153067258402124,0.646969696969697,0.7202910266774455,0.5891921774993332
경북,의성군,13.263844552394172,1.3543269687470314,188.75,6252339.0,70.2,0.5015112593072267,0.12551390267349433,0.5727272727272728,0.7590945836701698,0.5811880560730399
강원,정선군,11.599236641221374,2.12527397260274,215.25,943543.0,15.0,0.7753793455819643,0.33501926651708697,0.8939393939393939,0.31285367825384,0.5700450804157128
