시도,시군구,네트워크_접근성
경북,영양군,0.554140127388535
전남,영광군,0.3630573248407643
경북,울진군,0.5159235668789809
부산,기장군,0.12738853503184713
전북,남원시,0.42038216560509556
충남,태안군,0.8280254777070064
경북,경주시,0.267515923566879
강원,평창군,0.821656050955414
전북,무주군,0.5987261146496815
전북,진안군,0.5923566878980892
전북,임실군,0.535031847133758
경북,청송군,0.5095541401273885
경북,상주시,0.7261146496815286
부산,사하구,0.10828025477707007
전북,순창군,0.445859872611465
충남,예산군,0.9235668789808917
충남,서산시,0.9745222929936306
전남,나주시,0.25477707006369427
충남,홍성군,0.8407643312101911
전남,구례군,0.3821656050955414
전북,김제시,0.6178343949044586
전북,장수군,0.5031847133757962
전남,함평군,0.3184713375796178
강원,춘천시,0.9936305732484076
전남,해남군,0.044585987261146494
충남,계룡시,0.7898089171974523
부산,서구,0.12101910828025478
광주,광산구,0.3375796178343949
전북,익산시,0.6496815286624203
전북,군산시,0.6305732484076433
충남,보령시,0.7388535031847133
전남,영암군,0.18471337579617833
전남,강진군,0.07643312101910828
강원,홍천군,0.9554140127388535
강원,강릉시,0.6687898089171974
전남,보성군,0.20382165605095542
광주,동구,0.3503184713375796
충남,서천군,0.6942675159235668
충남,공주시,0.8662420382165605
전북,정읍시,0.5222929936305732
강원,양양군,0.7133757961783439
강원,정선군,0.7515923566878981
경북,영천시,0.46496815286624205
경남,합천군,0.4394904458598726
충남,논산시,0.732484076433121
충북,청주시청원구,0.8980891719745223
전남,곡성군,0.3885350318471338
울산,남구,0.17834394904458598
경남,산청군,0.37579617834394907
충남,당진시,0.9808917197452229
충남,부여군,0.7070063694267515
강원,횡성군,0.9171974522292994
전남,장흥군,0.1464968152866242
전북,부안군,0.5286624203821656
광주,남구,0.3248407643312102
부산,영도구,0.07006369426751592
강원,원주시,0.9363057324840764
전남,담양군,0.4140127388535032
경남,거창군,0.5605095541401274
전남,장성군,0.4012738853503185
대구,군위군,0.5668789808917197
강원,영월군,0.6815286624203821
전남,무안군,0.24203821656050956
세종,전의면,0.910828025477707
충북,청주시상당구,0.8343949044585988
경북,문경시,0.7770700636942676
충남,청양군,0.8089171974522293
경북,의성군,0.5859872611464968
전북,고창군,0.47770700636942676
경남,고성군,0.21019108280254778
세종,연서면,0.8726114649681529
충북,보은군,0.7961783439490446
전남,화순군,0.3057324840764331
경북,예천군,0.6751592356687898
세종,금남면,0.8152866242038217
경북,포항시북구,0.40764331210191085
대전,대덕구,0.802547770700637
강원,속초시,0.7197452229299363
경북,영덕군,0.43312101910828027
경북,영주시,0.6878980891719745
충북,진천군,0.9681528662420382
광주,북구,0.39490445859872614
경북,안동시,0.6114649681528662
전남,순천시,0.2484076433121019
부산,금정구,0.17197452229299362
경남,함양군,0.4968152866242038
세종,고운동,0.8598726114649682
광주,서구,0.35668789808917195
충남,아산시,0.9490445859872612
경북,포항시남구,0.27388535031847133
충남,천안시,0.9872611464968153
대전,중구,0.7579617834394905
울산,동구,0.1592356687898089
대전,서구,0.7643312101910829
부산,남구,0.08917197452229299
충북,증평군,0.9044585987261147
부산,부산진구,0.1337579617834395
대전,동구,0.7707006369426752
부산,해운대구,0.10191082802547771
부산,사상구,0.15286624203821655
부산,강서구,0.09554140127388536
충북,옥천군,0.7452229299363057
충북,제천시,0.8471337579617835
부산,동래구,0.14012738853503184
전남,고흥군,0.06369426751592357
충북,음성군,0.9299363057324841
경북,봉화군,0.6624203821656051
충북,단양군,0.7834394904458599
경남,의령군,0.34394904458598724
전북,완주군,0.6242038216560509
강원,삼척시,0.5732484076433121
경남,진주시,0.31210191082802546
경남,사천시,0.2229299363057325
경남,통영시,0.050955414012738856
충북,충주시,0.89171974522293
경남,하동군,0.2929936305732484
울산,울주군,0.1910828025477707
경북,경산시,0.4267515923566879
경북,청도군,0.36942675159235666
경북,칠곡군,0.5477707006369427
울산,북구,0.21656050955414013
경남,양산시,0.22929936305732485
충북,괴산군,0.8535031847133758
강원,동해시,0.643312101910828
충북,영동군,0.6560509554140127
전남,광양시,0.2611464968152866
경북,김천시,0.5796178343949044
경남,밀양시,0.2802547770700637
경남,거제시,0.05732484076433121
부산,북구,0.16560509554140126
전남,여수시,0.03821656050955414
경남,김해시,0.2356687898089172
경북,포항시,0.28662420382165604
대구,달성군,0.4713375796178344
대구,북구,0.49044585987261147
경남,창원시,0.19745222929936307
대구,서구,0.4840764331210191
경북,고령군,0.45222929936305734
경남,함안군,0.29936305732484075
경북,구미시,0.6369426751592356
전북,전주시,0.6050955414012739
대구,동구,0.4585987261146497
경북,성주군,0.5414012738853503
경남,창녕군,0.33121019108280253
