시도,시군구,위도,경도,사전필터
경북,영양군,36.625,129.088,통과
전남,영광군,35.2456847064394,126.18910421401516,통과
경북,울진군,36.90624,129.3624,통과
부산,기장군,35.2751,129.2511,통과
전북,남원시,35.3716,127.57829999999998,통과
충남,태안군,36.70802102409638,126.09009481927713,통과
경북,경주시,35.77444316251028,129.27921298986024,통과
강원,평창군,37.52485985576923,128.39601287774724,통과
전북,무주군,35.92099986244842,127.7281180192572,통과
전북,진안군,35.85693077274806,127.48165441243712,통과
전북,임실군,35.609311627906976,127.15782674418604,통과
경북,청송군,36.33625,129.01864999999998,통과
경북,상주시,36.40833055080397,127.9887068080739,통과
부산,사하구,35.09,128.9839,통과
전북,순창군,35.3818,127.03595,통과
충남,예산군,36.72317513736264,126.71166373626372,통과
충남,서산시,37.0106,126.3881,통과
전남,나주시,34.97666776406036,126.78210425240054,통과
충남,홍성군,36.54953079561043,126.47679410150891,통과
전남,구례군,35.259841889400924,127.52959714285716,통과
전북,김제시,35.836787357371065,126.76798343222272,통과
전북,장수군,35.5405,127.5463,통과
전남,함평군,35.119028375599726,126.58200020562028,통과
강원,춘천시,37.8919179513532,127.70613069544366,통과
전남,해남군,34.494525,126.54645,통과
충남,계룡시,36.328321130742054,127.2229402826855,통과
부산,서구,35.1188,129.0,통과
광주,광산구,35.1289,126.7452,통과
전북,익산시,36.01452196347032,126.98209840182648,통과
전북,군산시,35.93604883000688,126.3179732622161,통과
충남,보령시,36.29829053497942,126.30045404663925,통과
전남,영암군,34.80095427526292,126.64491202560583,통과
전남,강진군,34.57215479452055,126.77053821917808,통과
강원,홍천군,37.69611869353718,127.92667633773456,통과
강원,강릉시,37.77899353762136,128.89151162014562,통과
전남,보성군,34.83036666666666,127.19656666666666,통과
광주,동구,35.1256,126.9631,통과
충남,서천군,36.11833819301848,126.61623990417522,통과
충남,공주시,36.52479730347349,127.05942253199268,통과
전북,정읍시,35.57975,126.92095,통과
강원,양양군,38.05722156057495,128.6731201232033,통과
강원,정선군,37.33648050964187,128.6619070936639,통과
경북,영천시,36.066025890410955,128.8506329452055,통과
경남,합천군,35.57770467836257,128.1300894736842,통과
충남,논산시,36.172185909417685,127.09863551401868,통과
충북,청주시청원구,36.7246,127.4669,통과
전남,곡성군,35.23027570776255,127.22566287671232,통과
울산,남구,35.5048,129.386,통과
경남,산청군,35.2957940027416,127.84410877313228,통과
충남,당진시,36.884192876712326,126.720741369863,통과
충남,부여군,36.1319,126.8602,통과
강원,횡성군,37.49747950268817,128.07735456989246,통과
전남,장흥군,34.67709144827587,126.8777332413793,통과
전북,부안군,35.632875000000006,126.4906,통과
광주,남구,35.1008,126.8985,통과
부산,영도구,35.0661,129.0742,통과
