시도,시군구,지진위험지수,재해위험_가중합,산사태_건수,해안위험_등급
경북,영양군,26.172,23484.0,51.0,0
전남,영광군,1.285,51912.0,21.0,1
강원,화천군,1.847,8652.0,40.0,0
전남,신안군,0.0,35844.0,64.0,1
경북,울진군,9.811,38316.0,102.0,2
부산,기장군,1.477,8652.0,28.0,2
전북,남원시,15.159,106296.0,118.0,0
충남,태안군,4.256,2472.0,35.0,1
경북,경주시,42.676,24720.0,6.0,2
강원,평창군,0.0,53148.0,35.0,0
강원,양구군,2.366,35844.0,21.0,0
강원,철원군,18.695,24720.0,56.0,0
전북,무주군,28.297,34608.0,83.0,0
전북,진안군,34.194,70452.0,50.0,0
전북,임실군,27.837,53148.0,23.0,0
경북,청송군,19.725,35844.0,19.0,0
경북,상주시,37.243,43260.0,113.0,0
부산,사하구,4.796,14832.0,4.0,0
전북,순창군,18.167,51912.0,30.0,0
충남,예산군,9.937,39552.0,70.0,0
충남,서산시,6.771,19776.0,57.0,0
전남,나주시,4.112,74160.0,39.0,0
충남,홍성군,6.88,2472.0,42.0,1
전남,구례군,12.915,9888.0,136.0,0
전북,김제시,42.533,59328.0,41.0,0
전북,장수군,21.982,50676.0,63.0,0
전남,함평군,5.029,39552.0,25.0,0
강원,인제군,0.441,50676.0,59.0,0
강원,춘천시,0.0,44496.0,74.0,0
전남,해남군,0.0,29664.0,63.0,1
충남,계룡시,20.182,4944.0,34.0,0
부산,서구,4.997,3708.0,3.0,0
광주,광산구,7.283,48204.0,22.0,0
전북,익산시,29.644,34608.0,50.0,0
전북,군산시,5.087,74160.0,68.0,1
충남,보령시,1.16,27192.0,58.0,1
전남,영암군,0.576,4944.0,45.0,0
전남,강진군,1.16,19776.0,49.0,0
강원,홍천군,0.484,55620.0,75.0,0
강원,강릉시,4.535,58092.0,38.0,2
전남,보성군,19.287,28428.0,96.0,0
광주,동구,10.46,0.0,21.0,0
충남,서천군,15.632,16068.0,58.0,1
충남,공주시,17.513,44496.0,74.0,0
전북,정읍시,39.498,30900.0,38.0,0
강원,양양군,0.0,33372.0,59.0,2
강원,정선군,5.233,58092.0,37.0,0
경북,영천시,12.043,33372.0,1.0,0
강원,고성군,0.881,56856.0,61.0,2
경남,합천군,36.769,48204.0,75.0,0
충남,논산시,23.056,19776.0,77.0,0
충북,청주시청원구,17.069,0.0,0.0,0
전남,곡성군,9.745,13596.0,50.0,0
울산,남구,17.868,13596.0,2.0,0
경남,산청군,23.857,38316.0,148.0,0
충남,당진시,9.665,66744.0,67.0,1
충남,부여군,26.185,16068.0,81.0,0
강원,횡성군,1.947,54384.0,77.0,0
전남,장흥군,5.524,38316.0,77.0,0
전북,부안군,28.895,19776.0,35.0,1
광주,남구,8.457,16068.0,18.0,0
부산,영도구,1.607,0.0,2.0,0
강원,원주시,13.639,28428.0,71.0,0
전남,담양군,13.096,2472.0,44.0,0
경남,거창군,28.258,13596.0,92.0,0
전남,장성군,15.262,30900.0,44.0,0
대구,군위군,28.012,0.0,38.0,0
강원,영월군,9.654,38316.0,77.0,0
전남,무안군,0.844,38316.0,40.0,0
세종,전의면,11.12,0.0,0.0,0
충북,청주시상당구,19.869,0.0,0.0,0
경북,문경시,39.09,43260.0,101.0,0
충남,청양군,19.8,48204.0,70.0,0
전남,진도군,0.0,19776.0,45.0,1
경북,의성군,30.081,92700.0,50.0,0
전북,고창군,25.004,53148.0,25.0,0
경남,고성군,12.868,13596.0,76.0,1
세종,연서면,12.346,0.0,0.0,0
충북,보은군,37.676,56856.0,77.0,0
전남,화순군,9.259,70452.0,84.0,0
경북,예천군,27.997,42024.0,84.0,0
세종,금남면,16.239,0.0,0.0,0
경북,포항시북구,11.743,0.0,0.0,2
대전,대덕구,18.478,0.0,15.0,0
강원,속초시,0.0,39552.0,51.0,2
경북,영덕군,15.547,72924.0,39.0,2
경북,영주시,10.831,38316.0,96.0,0
충북,진천군,20.846,19776.0,35.0,0
광주,북구,11.531,3708.0,19.0,0
경북,안동시,28.711,46968.0,86.0,0
전남,순천시,14.346,8652.0,131.0,0
경남,남해군,1.128,28428.0,114.0,1
부산,금정구,5.977,2472.0,20.0,0
경남,함양군,25.501,38316.0,111.0,0
세종,고운동,14.147,0.0,0.0,0
광주,서구,9.013,3708.0,17.0,0
충남,아산시,10.552,54384.0,35.0,0
경북,포항시남구,23.067,0.0,0.0,2
충남,천안시,9.276,51912.0,0.0,0
대전,중구,18.932,0.0,9.0,0
울산,동구,13.832,2472.0,1.0,0
대전,서구,18.838,3708.0,14.0,0
부산,남구,2.326,13596.0,3.0,2
충북,증평군,28.997,0.0,28.0,0
부산,부산진구,5.434,3708.0,1.0,0
대전,동구,19.914,0.0,14.0,0
부산,해운대구,1.577,18540.0,4.0,2
부산,사상구,7.749,9888.0,1.0,0
부산,강서구,5.525,38316.0,30.0,0
충북,옥천군,26.843,56856.0,47.0,0
충북,제천시,38.623,33372.0,74.0,0
부산,동래구,4.237,0.0,1.0,0
전남,고흥군,15.972,93936.0,116.0,1
충북,음성군,38.974,32136.0,59.0,0
경북,봉화군,10.88,56856.0,85.0,0
충북,단양군,6.388,60564.0,85.0,0
경남,의령군,38.223,66744.0,41.0,0
전북,완주군,32.124,51912.0,51.0,0
강원,삼척시,20.109,51912.0,76.0,2
경남,진주시,25.831,13596.0,90.0,0
경남,사천시,8.919,58092.0,105.0,1
경북,울릉군,0.0,7416.0,30.0,0
경남,통영시,0.0,44496.0,69.0,1
충북,충주시,50.704,53148.0,98.0,0
경남,하동군,15.002,82812.0,161.0,0
울산,울주군,19.436,13596.0,23.0,0
경북,경산시,21.001,37080.0,2.0,0
경북,청도군,30.649,35844.0,15.0,0
경북,칠곡군,28.86,12360.0,57.0,0
울산,북구,30.903,11124.0,4.0,0
경남,양산시,18.392,38316.0,44.0,0
충북,괴산군,52.279,71688.0,79.0,0
강원,동해시,21.889,63036.0,16.0,2
