시도,시군구,대표변전소명,송전망여유량_2032,전력공급여유량_2032,전력가용량_MAX
강원특별자치도,강릉시,옥계(건설중),1330.0,815.0,1083950.0
강원특별자치도,고성군,옥계(건설중),1330.0,815.0,1083950.0
강원특별자치도,동해시,옥계(건설중),1330.0,815.0,1083950.0
강원특별자치도,삼척시,옥계(건설중),1330.0,815.0,1083950.0
강원특별자치도,속초시,옥계(건설중),1330.0,815.0,1083950.0
강원특별자치도,양구군,옥계(건설중),1330.0,815.0,1083950.0
강원특별자치도,양양군,옥계(건설중),1330.0,815.0,1083950.0
강원특별자치도,영월군,신제천,1850.0,1095.0,2025750.0
강원특별자치도,원주시,신제천,1850.0,1095.0,2025750.0
강원특별자치도,인제군,신제천,1850.0,1095.0,2025750.0
강원특별자치도,정선군,신제천,1850.0,1095.0,2025750.0
강원특별자치도,철원군,신제천,1850.0,1095.0,2025750.0
강원특별자치도,춘천시,신양양,1500.0,610.0,915000.0
강원특별자치도,태백시,신양양,1500.0,610.0,915000.0
강원특별자치도,평창군,동해,980.0,225.0,220500.0
강원특별자치도,홍천군,신양양,1500.0,610.0,915000.0
강원특별자치도,화천군,신양양,1500.0,610.0,915000.0
강원특별자치도,횡성군,신제천,1850.0,1095.0,2025750.0
경기도,가평군,내촌,1075.0,240.0,258000.0
경기도,고양시덕양구,금촌,1045.0,130.0,135850.0
경기도,고양시일산동구,신덕은,445.0,65.0,28925.0
경기도,고양시일산서구,신덕은,445.0,65.0,28925.0
경기도,과천시,신덕은,445.0,65.0,28925.0
경기도,광명시,신덕은,445.0,65.0,28925.0
경기도,광주시,오천,535.0,100.0,53500.0
경기도,구리시,미금,1000.0,255.0,255000.0
경기도,군포시,서서울#2,1825.0,500.0,912500.0
경기도,김포시,걸포(건설중),595.0,0.0,0.0
경기도,남양주시,회천,1185.0,330.0,391050.0
경기도,동두천시,회천,1185.0,330.0,391050.0
경기도,부천시소사구,회천,1185.0,330.0,391050.0
경기도,부천시오정구,회천,1185.0,330.0,391050.0
경기도,부천시원미구,회천,1185.0,330.0,391050.0
경기도,성남시분당구,회천,1185.0,330.0,391050.0
경기도,성남시수정구,회천,1185.0,330.0,391050.0
경기도,성남시중원구,회천,1185.0,330.0,391050.0
경기도,수원시권선구,서서울#2,1825.0,500.0,912500.0
경기도,수원시영통구,서서울#2,1825.0,500.0,912500.0
경기도,수원시장안구,서서울#2,1825.0,500.0,912500.0
경기도,수원시팔달구,서서울#2,1825.0,500.0,912500.0
경기도,시흥시,서서울#2,1825.0,500.0,912500.0
경기도,안산시단원구,성포,1280.0,500.0,640000.0
경기도,안산시상록구,서서울#2,1825.0,500.0,912500.0
경기도,안성시,원곡,660.0,225.0,148500.0
경기도,안양시동안구,안양2C/C,1130.0,400.0,452000.0
경기도,안양시만안구,서서울#2,1825.0,500.0,912500.0
경기도,양주시,옥정,975.0,300.0,292500.0
경기도,양평군,지제,1115.0,750.0,836250.0
경기도,여주시,지제,1115.0,750.0,836250.0
경기도,연천군,지제,1115.0,750.0,836250.0
경기도,오산시,삼미,1175.0,300.0,352500.0
경기도,용인시기흥구,죽전,595.0,50.0,29750.0
경기도,용인시수지구,신성남#2,935.0,300.0,280500.0
경기도,용인시처인구,고림(건설중),1195.0,200.0,239000.0
경기도,의왕시,안양2C/C,1130.0,400.0,452000.0
경기도,의정부시,오천,535.0,100.0,53500.0
경기도,이천시,오천,535.0,100.0,53500.0
경기도,파주시,용정,975.0,235.0,229125.0
경기도,평택시,동평택(SA),1040.0,0.0,0.0
경기도,포천시,운천,1145.0,620.0,709900.0
경기도,하남시,가락,0.0,0.0,0.0
경기도,화성시,남양,1345.0,500.0,672500.0
경상남도,거제시,마도,1185.0,550.0,651750.0
경상남도,거창군,의령,1445.0,475.0,686375.0
경상남도,고성군,마도,1185.0,550.0,651750.0
경상남도,김해시,신김해,1235.0,450.0,555750.0
경상남도,남해군,신김해,1235.0,450.0,555750.0
경상남도,밀양시,신김해,1235.0,450.0,555750.0
경상남도,사천시,신고성,1015.0,310.0,314650.0
경상남도,산청군,의령,1445.0,475.0,686375.0
경상남도,양산시,진영,1205.0,255.0,307275.0
경상남도,의령군,의령,1445.0,475.0,686375.0
경상남도,진주시,의령,1445.0,475.0,686375.0
경상남도,창녕군,유가,1900.0,530.0,1007000.0
경상남도,창원시마산합포구,의령,1445.0,475.0,686375.0
