시도,시군구,선택횟수,선택비율_%
강원,강릉시,4745,94.9
충북,진천군,4654,93.1
충북,청주시청원구,4570,91.4
강원,춘천시,4189,83.8
충북,음성군,3854,77.1
대전,서구,3356,67.1
대전,중구,3226,64.5
충북,청주시상당구,3178,63.6
충북,충주시,2634,52.7
대전,동구,2522,50.4
전북,정읍시,2291,45.8
경북,포항시북구,1482,29.6
광주,서구,1360,27.2
전북,군산시,1272,25.4
전북,익산시,897,17.9
강원,원주시,847,16.9
경북,포항시남구,811,16.2
충남,천안시,723,14.5
경북,상주시,535,10.7
대구,서구,464,9.3
충남,서산시,459,9.2
충남,서천군,426,8.5
경남,고성군,280,5.6
충북,제천시,258,5.2
충남,태안군,228,4.6
세종,연서면,171,3.4
충남,청양군,165,3.3
세종,전의면,124,2.5
충남,보령시,71,1.4
세종,고운동,68,1.4
대구,동구,43,0.9
경북,경주시,35,0.7
세종,금남면,26,0.5
강원,평창군,13,0.3
충남,당진시,8,0.2
대구,달성군,6,0.1
전북,부안군,4,0.1
경북,영천시,2,0.0
대전,대덕구,2,0.0
충남,아산시,1,0.0
