피처,기준가중치,변경가중치,가중치변화,Top10겹침,안정성
전력,35.0,20.0,-15.0,6,6/10
전력,35.0,25.0,-10.0,7,7/10
전력,35.0,30.0,-5.0,9,9/10
전력,35.0,35.0,0.0,10,10/10
전력,35.0,40.0,5.0,10,10/10
전력,35.0,45.0,10.0,10,10/10
전력,35.0,50.0,15.0,8,8/10
재해,20.0,5.0,-15.0,7,7/10
재해,20.0,10.0,-10.0,9,9/10
재해,20.0,15.0,-5.0,9,9/10
재해,20.0,20.0,0.0,10,10/10
재해,20.0,25.0,5.0,9,9/10
재해,20.0,30.0,10.0,9,9/10
재해,20.0,35.0,15.0,8,8/10
냉각,20.0,5.0,-15.0,8,8/10
냉각,20.0,10.0,-10.0,8,8/10
냉각,20.0,15.0,-5.0,9,9/10
냉각,20.0,20.0,0.0,10,10/10
냉각,20.0,25.0,5.0,9,9/10
냉각,20.0,30.0,10.0,9,9/10
냉각,20.0,35.0,15.0,7,7/10
신재생,20.0,5.0,-15.0,8,8/10
신재생,20.0,10.0,-10.0,9,9/10
신재생,20.0,15.0,-5.0,9,9/10
신재생,20.0,20.0,0.0,10,10/10
신재생,20.0,25.0,5.0,8,8/10
신재생,20.0,30.0,10.0,7,7/10
신재생,20.0,35.0,15.0,7,7/10
네트워크,5.0,1.0,-15.0,9,9/10
네트워크,5.0,1.0,-10.0,9,9/10
네트워크,5.0,1.0,-5.0,9,9/10
네트워크,5.0,5.0,0.0,10,10/10
네트워크,5.0,10.0,5.0,10,10/10
네트워크,5.0,15.0,10.0,10,10/10
네트워크,5.0,20.0,15.0,9,9/10
