랭킹,시도,시군구,종합_점수,전력_점수,재해_점수,냉각_점수,신재생_점수,네트워크_점수
1,강원,강릉시,74.743,85.52,40.86,72.0,94.48,66.88
2,충북,청주시청원구,72.833,91.03,76.81,32.48,73.1,89.81
3,강원,춘천시,71.621,66.9,56.74,77.38,82.07,99.36
4,충북,진천군,70.977,89.66,55.03,72.14,46.62,96.82
5,충북,음성군,69.83,93.79,39.35,48.76,73.66,92.99
6,충북,청주시상당구,68.542,74.48,74.33,45.59,71.59,83.44
7,대전,중구,68.15,98.62,71.49,65.31,12.41,75.8
8,대전,서구,68.126,99.31,66.01,65.31,16.41,76.43
9,충북,충주시,67.638,91.72,24.21,40.83,90.34,89.17
10,대전,동구,67.023,97.93,63.3,65.31,15.86,77.07
11,전북,정읍시,66.862,76.55,41.36,58.9,87.03,52.23
12,경북,포항시북구,65.168,90.34,73.96,54.48,29.1,40.76
13,광주,서구,64.647,93.1,73.46,32.0,45.93,35.67
14,전북,군산시,64.127,64.14,44.77,60.14,87.72,63.06
15,강원,원주시,64.091,95.86,51.63,27.59,50.07,93.63
16,경북,포항시남구,63.816,96.55,65.48,40.83,36.97,27.39
17,충남,서천군,63.051,61.72,45.81,80.21,63.86,69.43
18,충남,천안시,62.674,50.0,60.36,77.66,63.17,98.73
19,대구,서구,62.455,97.24,64.21,46.76,19.03,48.41
20,전북,익산시,62.288,54.48,41.79,68.28,89.79,64.97
21,충북,제천시,62.098,83.45,31.55,72.97,38.76,84.71
22,대구,동구,61.572,94.48,60.98,46.76,23.31,45.86
23,대구,달성군,61.47,95.17,44.88,46.76,37.38,47.13
24,경남,고성군,61.182,60.0,49.17,82.07,64.41,21.02
25,경북,영천시,60.984,88.97,58.57,29.38,49.66,46.5
26,경북,상주시,60.582,55.86,22.45,91.17,73.38,72.61
27,경북,경산시,60.294,87.59,50.9,44.28,42.34,42.68
28,대구,북구,60.149,92.41,55.03,46.76,24.97,49.04
29,강원,영월군,60.067,77.93,44.57,39.17,63.17,68.15
30,경북,경주시,59.845,78.62,36.74,44.83,73.38,26.75
31,경북,구미시,59.764,82.07,34.38,48.48,56.41,63.69
32,충북,단양군,59.512,77.24,42.39,68.83,31.59,78.34
33,전북,장수군,59.451,71.72,39.43,59.03,60.69,50.32
34,전북,완주군,59.423,69.66,31.48,57.66,70.48,62.42
35,강원,정선군,59.093,81.38,49.57,45.38,39.31,75.16
36,대전,대덕구,58.474,61.72,71.67,65.31,27.31,80.25
37,충남,청양군,58.102,61.72,38.27,91.45,32.55,80.89
38,세종,연서면,58.012,50.0,80.12,70.28,30.34,87.26
39,광주,북구,57.695,84.14,62.94,32.0,36.41,39.49
40,세종,고운동,57.686,50.0,78.68,70.28,30.48,85.99
41,전북,임실군,57.677,64.83,38.87,62.83,59.86,53.5
42,울산,북구,57.644,84.83,48.5,26.28,59.59,21.66
43,충남,부여군,57.576,61.72,38.88,57.79,65.52,70.7
44,세종,금남면,57.546,50.0,77.02,70.28,32.55,81.53
45,경북,칠곡군,57.161,80.69,51.04,45.38,34.48,54.78
46,세종,전의면,57.155,50.0,80.95,70.28,24.28,91.08
47,충북,괴산군,56.691,79.31,22.36,62.34,38.62,85.35
48,강원,평창군,56.559,34.48,56.74,73.86,71.31,82.17
49,울산,남구,56.219,82.76,65.26,26.28,40.28,17.83
50,강원,홍천군,56.074,53.79,49.66,69.93,42.76,95.54
51,광주,동구,55.68,86.9,69.3,32.0,16.28,35.03
52,경남,진주시,55.614,72.41,42.72,51.59,49.24,31.21
53,전북,부안군,55.536,40.0,45.63,81.38,67.45,52.87
54,충남,서산시,55.435,13.1,55.47,77.45,96.97,97.45
55,충북,증평군,55.395,73.79,59.09,35.79,30.34,90.45
56,충북,옥천군,55.125,70.34,30.44,56.55,46.9,74.52
57,울산,동구,54.951,88.28,68.36,26.28,21.66,15.92
58,전북,전주시,54.485,50.0,50.35,45.24,74.21,60.51
59,광주,남구,54.456,80.0,69.54,32.0,22.62,32.48
60,충남,태안군,54.067,13.1,68.7,66.97,91.03,82.8
61,경북,영주시,53.587,55.17,40.67,57.93,55.59,68.79
62,경남,김해시,53.125,86.21,41.01,19.45,48.41,23.57
63,경남,창녕군,52.809,73.1,30.46,63.31,34.07,33.12
