랭킹,시도,시군구,N_전력가용량,전력_점수,전력가용량_신규,전력가용량_신규,N_지진,N_홍수,N_산사태,N_해안,N_산불,재해_점수,N_취수여유율,N_냉각일수,냉각_점수,N_발전량,N_접근성,신재생_점수,네트워크_점수,종합_점수
1,강원,강릉시,0.8551724137931035,85.52,3964975.0,3964975.0,0.8482758620689655,0.1310344827586207,0.5586206896551724,0.04827586206896552,0.020689655172413793,40.86,0.6758620689655173,0.7862068965517242,72.0,0.9793103448275862,0.8068965517241379,94.48,66.88,74.743
2,충북,청주시청원구,0.9103448275862069,91.03,4896125.0,4896125.0,0.4896551724137931,0.9379310344827586,0.9517241379310345,0.596551724137931,0.9620689655172414,76.81,0.29310344827586204,0.3724137931034483,32.48,0.7620689655172413,0.6068965517241379,73.1,89.81,72.833
3,강원,춘천시,0.6689655172413793,66.9,1808650.0,1808650.0,0.9758620689655172,0.32068965517241377,0.27586206896551724,0.596551724137931,0.5379310344827586,56.74,0.6827586206896552,0.9103448275862069,77.38,0.9448275862068966,0.32413793103448274,82.07,99.36,71.621
4,충북,진천군,0.896551724137931,89.66,4820800.0,4820800.0,0.3793103448275862,0.603448275862069,0.593103448275862,0.596551724137931,0.7448275862068966,55.03,0.696551724137931,0.7586206896551724,72.14,0.4,0.7310344827586207,46.62,96.82,70.977
5,충북,음성군,0.9379310344827586,93.79,6097825.0,6097825.0,0.06896551724137931,0.5172413793103449,0.3620689655172414,0.596551724137931,0.7862068965517242,39.35,0.29310344827586204,0.7793103448275862,48.76,0.7724137931034483,0.593103448275862,73.66,92.99,69.83
6,충북,청주시상당구,0.7448275862068966,74.48,2419200.0,2419200.0,0.4068965517241379,0.9379310344827586,0.9517241379310345,0.596551724137931,0.9620689655172414,74.33,0.29310344827586204,0.7,45.59,0.7620689655172413,0.5310344827586206,71.59,83.44,68.542
7,대전,중구,0.9862068965517241,98.62,17176000.0,17176000.0,0.4413793103448276,0.9379310344827586,0.7931034482758621,0.596551724137931,0.903448275862069,71.49,0.7137931034482758,0.5620689655172414,65.31,0.06896551724137931,0.3448275862068966,12.41,75.8,68.15
8,대전,서구,0.993103448275862,99.31,17952000.0,17952000.0,0.4482758620689655,0.8241379310344827,0.7827586206896552,0.596551724137931,0.6931034482758621,66.01,0.7137931034482758,0.5620689655172414,65.31,0.1103448275862069,0.3793103448275862,16.41,76.43,68.126
9,충북,충주시,0.9172413793103448,91.72,5252250.0,5252250.0,0.013793103448275862,0.20689655172413793,0.10344827586206896,0.596551724137931,0.7655172413793103,24.21,0.1103448275862069,0.8551724137931035,40.83,0.9517241379310345,0.7103448275862069,90.34,89.17,67.638
10,대전,동구,0.9793103448275862,97.93,12576000.0,12576000.0,0.4,0.9379310344827586,0.7827586206896552,0.596551724137931,0.3413793103448276,63.3,0.7137931034482758,0.5620689655172414,65.31,0.08275862068965517,0.46206896551724136,15.86,77.07,67.023
