시나리오,순위,지역,점수
기본(교통25/경사30/냉각25/산단15/민원5),1,강원 강릉시,145.63
기본(교통25/경사30/냉각25/산단15/민원5),2,충북 충주시,144.64
기본(교통25/경사30/냉각25/산단15/민원5),3,전북 정읍시,144.61
기본(교통25/경사30/냉각25/산단15/민원5),4,충북 청주시청원구,143.82
기본(교통25/경사30/냉각25/산단15/민원5),5,강원 춘천시,142.71
냉각중심(교통20/경사25/냉각35/산단15/민원5),1,강원 강릉시,144.99
냉각중심(교통20/경사25/냉각35/산단15/민원5),2,충북 충주시,144.21
냉각중심(교통20/경사25/냉각35/산단15/민원5),3,전북 정읍시,143.99
냉각중심(교통20/경사25/냉각35/산단15/민원5),4,충북 청주시청원구,143.41
냉각중심(교통20/경사25/냉각35/산단15/민원5),5,강원 춘천시,142.96
교통중심(교통40/경사25/냉각20/산단10/민원5),1,충북 청주시청원구,150.51
교통중심(교통40/경사25/냉각20/산단10/민원5),2,전북 정읍시,149.15
교통중심(교통40/경사25/냉각20/산단10/민원5),3,강원 강릉시,148.96
교통중심(교통40/경사25/냉각20/산단10/민원5),4,충북 충주시,147.81
교통중심(교통40/경사25/냉각20/산단10/민원5),5,강원 춘천시,147.11
경사중심(교통20/경사45/냉각20/산단10/민원5),1,충북 청주시청원구,152.08
경사중심(교통20/경사45/냉각20/산단10/민원5),2,전북 정읍시,150.48
경사중심(교통20/경사45/냉각20/산단10/민원5),3,강원 강릉시,149.98
경사중심(교통20/경사45/냉각20/산단10/민원5),4,충북 충주시,149.34
경사중심(교통20/경사45/냉각20/산단10/민원5),5,충북 음성군,148.03
산단중심(교통20/경사25/냉각20/산단30/민원5),1,강원 강릉시,135.39
산단중심(교통20/경사25/냉각20/산단30/민원5),2,충북 충주시,133.7
산단중심(교통20/경사25/냉각20/산단30/민원5),3,전북 정읍시,130.24
산단중심(교통20/경사25/냉각20/산단30/민원5),4,충북 진천군,130.11
산단중심(교통20/경사25/냉각20/산단30/민원5),5,강원 춘천시,128.45
균등(교통20/경사20/냉각20/산단20/민원20),1,강원 강릉시,132.77
균등(교통20/경사20/냉각20/산단20/민원20),2,충북 충주시,130.1
균등(교통20/경사20/냉각20/산단20/민원20),3,강원 춘천시,128.72
균등(교통20/경사20/냉각20/산단20/민원20),4,전북 정읍시,128.44
균등(교통20/경사20/냉각20/산단20/민원20),5,충북 진천군,127.42
