최종순위,region_key,macro_rank,sido,sigungu,macro_norm,n_grid_total,n_grid_pass,pass_rate,micro_mean,micro_max,method_used,bfs_top_grids,bfs_top_score,bfs_spec_top_grids,bfs_spec_top_score,bfs_spec_bfs_zone_grids,method_overlap_pct,top_cluster_grids,top_cluster_buildable_ha,top_cluster_score,final_score,best_lat,best_lon,capacity_2030_mw_ref,macro_norm_scaled,coef_10,coef_15,coef_20
1,강원_춘천시,3,강원,춘천시,70.69095005632745,18407,5767,31.330472103004293,60.82,89.65,BFS+Zoning_v5,3165,153.04,1265,161.0,3165,100.0,1481,3416.875,159.6975732086388,132.99558626294538,37.89300026469254,127.73161433244353,0,70.69095005632745,113.51788123928704,132.99558626294538,152.47329128660377
2,충북_진천군,4,충북,진천군,64.64513706346234,6815,1502,22.039618488628022,78.24,90.26,BFS+Zoning_v5,1017,164.37,277,154.68,1017,100.0,599,1470.6249999999998,159.54927300701297,131.0780322239478,36.907193880227354,127.47792679877595,1675,64.64513706346234,112.84829375649981,131.0780322239478,149.30777069139577
3,강원_강릉시,1,강원,강릉시,100.0,17145,1711,9.979585885097697,76.55,93.3,BFS+Zoning_v5,465,151.78,494,146.44,583,0.0,226,538.7500000000001,142.65316249559527,129.85721374691667,37.72350231672941,128.92043384699983,825,100.0,114.92344027359317,129.85721374691667,144.79098722024023
4,충북_음성군,5,충북,음성군,53.87720615846793,8705,3708,42.59620907524411,74.13,91.74,BFS+Zoning_v5,2345,162.85,829,161.36,2345,100.0,976,2455.625000000001,158.6148566839723,127.19356152632099,36.97606018462129,127.5480780050819,1675,53.87720615846793,108.39104618360632,127.19356152632099,145.9960768690357
5,충북_청주시청원구,2,충북,청주시청원구,82.06909500563278,3640,2533,69.58791208791209,71.1,82.82,BFS+Zoning_v5,1999,152.8,802,146.98,1999,100.0,577,1341.8749999999998,146.1335587651892,126.91421963732228,36.69840491987999,127.46767620779198,2300,82.06909500563278,110.26723154697311,126.91421963732228,143.56120772767142
6,전북_정읍시,11,전북,정읍시,26.013894104393547,11551,5940,51.42411912388538,74.31,94.58,BFS+Zoning_v5,5869,171.34,1176,162.81,5869,100.0,2695,6353.125,170.00594841352802,126.80833212078767,35.602329157827135,126.87169951654684,1230,26.013894104393547,105.29558624766236,126.80833212078767,148.321077993913
7,충북_충주시,9,충북,충주시,33.298911002628714,16219,4521,27.874714840619024,74.02,93.41,BFS+Zoning_v5,3600,170.94,1955,166.17,3600,100.0,1070,2576.2500000000005,163.18643039264632,124.22017457564102,37.00918755904526,127.89370542259545,0,33.298911002628714,104.74960660830412,124.22017457564102,143.69074254297792
8,전북_군산시,14,전북,군산시,0.3379647014645265,7371,6492,88.07488807488808,71.98,92.44,BFS+Zoning_v5,6097,170.5,2672,165.73,6097,100.0,2585,6143.749999999999,169.66049634823045,118.86373685420067,35.956561694324954,126.67063716580627,815,0.3379647014645265,97.44666918263773,118.86373685420067,140.28080452576364
9,경북_포항시북구,12,경북,포항시북구,10.110777318813485,12223,2131,17.434345087130822,78.69,95.64,BFS+Zoning_v5,1008,164.56,933,165.29,1008,100.0,582,1314.9999999999998,158.8856973417164,114.25322133484552,36.11421474854778,129.37518242699795,1725,10.110777318813485,96.14101971190789,114.25322133484552,132.36542295778315
10,충북_청주시상당구,6,충북,청주시상당구,41.78558017273758,6776,3836,56.61157024793389,61.54,82.65,BFS+Zoning_v5,3746,138.15,1589,138.9,3746,100.0,734,1795.0,140.98928590284598,111.22817418381345,36.56273594549026,127.52750008408997,2300,41.78558017273758,94.86224256778895,111.22817418381345,127.59410579983795
11,강원_원주시,15,강원,원주시,0.0,14365,2679,18.64949530107901,75.43,94.99,BFS+Zoning_v5,1613,169.96,547,163.14,1613,100.0,308,739.3749999999999,158.48521736983722,110.93965215888605,37.290047435800574,127.79852661649619,740,0.0,93.84141346253288,110.93965215888605,128.03789085523925
12,광주_서구,13,광주,서구,5.219677055952042,852,537,63.02816901408451,78.52,84.6,BFS+Zoning_v5,537,152.57,130,138.75,537,100.0,174,435.6249999999999,141.40463720855897,100.54914916277687,35.15969766234037,126.86729715939335,2360,5.219677055952042,86.14609158504861,100.54914916277687,114.9522067405051
13,대전_동구,10,대전,동구,27.52534735260986,2422,241,9.95045417010735,66.73,79.4,BFS+Zoning_v5,43,116.97,14,109.44,43,100.0,37,95.00000000000003,123.05799187002499,94.39819851480044,36.33384571623192,127.43878307126067,2410,27.52534735260986,84.26180664734105,94.39819851480044,104.53459038225981
14,대전_중구,7,대전,중구,38.10552009012403,1111,295,26.552655265526553,58.35,73.17,BFS+Zoning_v5,116,103.94,60,104.47,116,100.0,40,100.0,110.66152885267975,88.89472622391303,36.31008017786375,127.39597708182609,2360,38.10552009012403,79.6571514733609,88.89472622391303,98.13230097446517
15,대전_서구,8,대전,서구,37.88021028914768,1672,191,11.423444976076556,37.23,44.09,BFS+Zoning_v5,56,62.01,22,57.91,56,100.0,37,95.0,70.84909517296501,60.9584297078198,36.32822696949948,127.38080287533501,2360,37.88021028914768,55.1225292415858,60.9584297078198,66.7943301740538
