rank,sido,sigungu,component,mean_score,weighted_contrib,contrib_pct,n_top_grids
1,강원,춘천시,변전소 접근,70.16,10.524,13.3,1274
1,강원,춘천시,교통 접근성,92.51,18.503,23.4,1274
1,강원,춘천시,경사도,96.23,24.058,30.4,1274
1,강원,춘천시,냉각수 접근,92.46,13.869,17.5,1274
1,강원,춘천시,산업단지,43.04,4.304,5.4,1274
1,강원,춘천시,용도지역 적합,52.09,7.814,9.9,1274
2,충북,진천군,변전소 접근,77.41,11.611,13.9,376
2,충북,진천군,교통 접근성,95.84,19.169,23.0,376
2,충북,진천군,경사도,100.0,25.0,29.9,376
2,충북,진천군,냉각수 접근,89.55,13.433,16.1,376
2,충북,진천군,산업단지,49.44,4.944,5.9,376
2,충북,진천군,용도지역 적합,62.11,9.317,11.2,376
3,강원,강릉시,변전소 접근,65.92,9.888,12.1,428
3,강원,강릉시,교통 접근성,95.88,19.176,23.5,428
3,강원,강릉시,경사도,99.86,24.965,30.7,428
3,강원,강릉시,냉각수 접근,93.76,14.064,17.3,428
3,강원,강릉시,산업단지,49.5,4.95,6.1,428
3,강원,강릉시,용도지역 적합,55.9,8.385,10.3,428
4,충북,음성군,변전소 접근,72.21,10.832,13.5,927
4,충북,음성군,교통 접근성,96.07,19.214,24.0,927
4,충북,음성군,경사도,99.06,24.765,30.9,927
4,충북,음성군,냉각수 접근,92.93,13.939,17.4,927
4,충북,음성군,산업단지,26.48,2.648,3.3,927
4,충북,음성군,용도지역 적합,58.34,8.752,10.9,927
5,충북,청주시청원구,변전소 접근,72.22,10.833,14.0,631
5,충북,청주시청원구,교통 접근성,95.23,19.045,24.6,631
5,충북,청주시청원구,경사도,99.86,24.964,32.2,631
5,충북,청주시청원구,냉각수 접근,94.22,14.132,18.2,631
5,충북,청주시청원구,산업단지,0.0,0.0,0.0,631
5,충북,청주시청원구,용도지역 적합,56.53,8.479,10.9,631
