scenario,region_key,sido,sigungu,rank
v5 기본,강원_춘천시,강원,춘천시,1
v5 기본,충북_진천군,충북,진천군,2
v5 기본,강원_강릉시,강원,강릉시,3
v5 기본,충북_음성군,충북,음성군,4
v5 기본,충북_청주시청원구,충북,청주시청원구,5
v5 기본,전북_정읍시,전북,정읍시,6
v5 기본,충북_충주시,충북,충주시,7
v5 기본,전북_군산시,전북,군산시,8
v5 기본,경북_포항시북구,경북,포항시북구,9
v5 기본,충북_청주시상당구,충북,청주시상당구,10
v5 기본,강원_원주시,강원,원주시,11
v5 기본,광주_서구,광주,서구,12
v5 기본,대전_동구,대전,동구,13
v5 기본,대전_중구,대전,중구,14
v5 기본,대전_서구,대전,서구,15
경사도 강조,강원_춘천시,강원,춘천시,1
경사도 강조,충북_진천군,충북,진천군,2
경사도 강조,강원_강릉시,강원,강릉시,3
경사도 강조,충북_음성군,충북,음성군,6
경사도 강조,충북_청주시청원구,충북,청주시청원구,4
경사도 강조,전북_정읍시,전북,정읍시,5
경사도 강조,충북_충주시,충북,충주시,7
경사도 강조,전북_군산시,전북,군산시,8
경사도 강조,경북_포항시북구,경북,포항시북구,9
경사도 강조,충북_청주시상당구,충북,청주시상당구,10
경사도 강조,강원_원주시,강원,원주시,11
경사도 강조,광주_서구,광주,서구,12
경사도 강조,대전_동구,대전,동구,13
경사도 강조,대전_중구,대전,중구,14
경사도 강조,대전_서구,대전,서구,15
전력 강조,강원_춘천시,강원,춘천시,1
전력 강조,충북_진천군,충북,진천군,2
전력 강조,강원_강릉시,강원,강릉시,3
전력 강조,충북_음성군,충북,음성군,4
전력 강조,충북_청주시청원구,충북,청주시청원구,5
전력 강조,전북_정읍시,전북,정읍시,6
전력 강조,충북_충주시,충북,충주시,7
전력 강조,전북_군산시,전북,군산시,8
전력 강조,경북_포항시북구,경북,포항시북구,9
전력 강조,충북_청주시상당구,충북,청주시상당구,11
전력 강조,강원_원주시,강원,원주시,10
전력 강조,광주_서구,광주,서구,12
전력 강조,대전_동구,대전,동구,13
전력 강조,대전_중구,대전,중구,14
전력 강조,대전_서구,대전,서구,15
냉각수 강조,강원_춘천시,강원,춘천시,1
냉각수 강조,충북_진천군,충북,진천군,3
냉각수 강조,강원_강릉시,강원,강릉시,2
냉각수 강조,충북_음성군,충북,음성군,6
냉각수 강조,충북_청주시청원구,충북,청주시청원구,4
냉각수 강조,전북_정읍시,전북,정읍시,5
냉각수 강조,충북_충주시,충북,충주시,7
냉각수 강조,전북_군산시,전북,군산시,8
냉각수 강조,경북_포항시북구,경북,포항시북구,9
냉각수 강조,충북_청주시상당구,충북,청주시상당구,10
냉각수 강조,강원_원주시,강원,원주시,11
냉각수 강조,광주_서구,광주,서구,12
냉각수 강조,대전_동구,대전,동구,13
냉각수 강조,대전_중구,대전,중구,14
냉각수 강조,대전_서구,대전,서구,15
용도지역 강조,강원_춘천시,강원,춘천시,1
용도지역 강조,충북_진천군,충북,진천군,2
용도지역 강조,강원_강릉시,강원,강릉시,3
용도지역 강조,충북_음성군,충북,음성군,4
용도지역 강조,충북_청주시청원구,충북,청주시청원구,5
용도지역 강조,전북_정읍시,전북,정읍시,6
용도지역 강조,충북_충주시,충북,충주시,7
용도지역 강조,전북_군산시,전북,군산시,8
용도지역 강조,경북_포항시북구,경북,포항시북구,9
용도지역 강조,충북_청주시상당구,충북,청주시상당구,10
용도지역 강조,강원_원주시,강원,원주시,11
용도지역 강조,광주_서구,광주,서구,12
용도지역 강조,대전_동구,대전,동구,13
용도지역 강조,대전_중구,대전,중구,14
용도지역 강조,대전_서구,대전,서구,15
교통 강조,강원_춘천시,강원,춘천시,1
교통 강조,충북_진천군,충북,진천군,2
교통 강조,강원_강릉시,강원,강릉시,3
교통 강조,충북_음성군,충북,음성군,5
교통 강조,충북_청주시청원구,충북,청주시청원구,6
교통 강조,전북_정읍시,전북,정읍시,4
교통 강조,충북_충주시,충북,충주시,7
교통 강조,전북_군산시,전북,군산시,8
교통 강조,경북_포항시북구,경북,포항시북구,9
교통 강조,충북_청주시상당구,충북,청주시상당구,10
교통 강조,강원_원주시,강원,원주시,11
교통 강조,광주_서구,광주,서구,12
교통 강조,대전_동구,대전,동구,13
교통 강조,대전_중구,대전,중구,14
교통 강조,대전_서구,대전,서구,15
